12	3158
1.14594889e-35	1.13113292e-41	1.29441387e-36	9.98331468e-15	6.10633116e-45	7.61834807e-14	1.22282908e-21	7.09357396e-41	1.01807987e-02	9.89817435e-01	3.39970827e-29	1.76637136e-06
9.31390781e-01	5.99518311e-04	1.28859490e-03	4.48197039e-08	1.06322446e-07	3.48031003e-03	6.91969593e-10	2.66161218e-08	3.13240392e-07	4.43987332e-12	6.25549786e-02	6.85325485e-04
9.93643808e-01	7.51053868e-08	3.49017341e-06	3.81576993e-10	1.34429250e-11	1.87119827e-06	6.50688737e-12	1.01026208e-10	3.71848059e-09	1.25092858e-14	6.35075177e-03	3.30917044e-12
7.73901359e-03	1.50534519e-04	9.59541505e-01	1.88446530e-11	3.25212883e-02	3.44320691e-13	3.84746657e-15	2.01864206e-07	1.68943699e-09	5.20539472e-13	4.74391023e-05	1.63618968e-08
1.42745744e-04	2.27404439e-03	2.11963199e-05	9.01029309e-01	6.63769139e-10	7.84778940e-02	1.41816725e-04	1.72684633e-10	5.24519255e-05	1.04177172e-07	1.10818438e-07	1.78603257e-02
8.03620165e-02	7.20172980e-12	1.72578888e-07	1.25737214e-15	3.30174930e-06	3.96888691e-13	5.57059939e-12	3.72535082e-11	1.36374043e-10	9.38136522e-10	9.19634476e-01	3.17283206e-08
8.23067046e-07	8.50818302e-06	3.45710076e-09	7.23204355e-09	6.96677888e-17	9.99960802e-01	5.98578747e-09	1.36224022e-12	9.57231022e-12	1.07904796e-10	4.87605454e-13	2.98498298e-05
1.27810946e-03	2.96089904e-03	3.85116140e-02	4.94535659e-03	8.96428120e-08	2.20426091e-03	8.60044196e-01	1.65803659e-05	7.64337390e-02	9.06843584e-04	1.08949289e-07	1.26982027e-02
2.86417043e-03	2.61000702e-07	9.93918340e-01	7.77552771e-11	4.89193548e-09	3.36179672e-06	2.45267607e-11	3.15561515e-03	1.34561717e-07	2.59579536e-14	5.81122260e-05	7.49160011e-11
9.89376473e-06	7.63887469e-05	3.97891653e-03	9.11811905e-06	2.78871276e-10	1.24135747e-04	4.24289543e-09	1.68996607e-02	9.78901155e-01	1.39807960e-07	6.32286361e-13	5.86894393e-07
2.41807096e-04	1.76635974e-03	1.16311607e-02	3.34947271e-02	3.37640889e-10	1.89685544e-03	1.15718496e-01	1.33527276e-07	8.65965189e-03	8.12777206e-01	1.74330058e-10	1.38136021e-02
1.62345599e-06	1.62037526e-03	1.77085590e-06	9.77017039e-09	8.46660085e-11	1.25561912e-05	9.58150242e-03	3.93551350e-09	3.31807808e-03	7.38381767e-03	5.51865351e-07	9.78079710e-01
5.37562830e-05	2.00210069e-05	1.22173655e-10	6.76589934e-08	1.28702800e-13	8.20411139e-06	1.63786915e-08	8.27141437e-13	3.53132101e-07	5.79513240e-07	1.29887100e-11	9.99917002e-01
